,ID,QUESTION
43,12476874211,"If the longitudinal overlap in aerial photographs is kept as 65%, the common overlap (superlap) between three successive photographs is ________ % (in integer)."
44,12476874212,"The Representative Fraction (RF) of the graphical scale given below is 1/X, where X is ______ (in integer)."
45,12476874213,The combined correction for curvature of Earth and refraction in levelling for a distance of 6 km would be ______ m (rounded off to two decimal places). Assume the radius of earth is 6370 km.(give mod value)
46,12476874214,"In tangential method of tacheometry, two vanes in a staff were fixed at a distance
of 1.0 m with the bottom vane fixed at 1.0 m. The levelling staff was held vertical
at a point P and the vertical angles of the vanes observed were 5°30′ and 3°15′,
respectively. The vertical distance between the instrument axis and the bottom vane
would be _____ m (rounded off to two decimal places)"
47,12476874215,"A line measures 15 cm on an aerial photograph, while it measures 5 cm on a map at 1:24000 scale. The photograph was taken using a camera lens of 20 cm focal length. Average elevation of terrain is 240 m above mean sea level. The flying height of the aircraft above mean sea level is______ m (in integer)."
48,12476874216,"A high tower appeared on an aerial photograph taken at 1000 m above mean sea
level with a camera lens of 15 cm focal length. The radial distances of the top and
bottom images of the tower from principal point of photograph are 92.6 mm and
78.3 mm, respectively. If the average elevation of terrain is 300 m above mean sea
level, then the height of the tower above ground is ______ m (rounded off to the
nearest integer). "
49,12476874217,"A four-band multispectral image of size 64 × 64 pixels has 560 header bytes. The
per pixel depth of the image is 2 bytes. The total number of bytes required to store
this image on the disk in the Band Interleaved by Line (BIL) format will be"
50,12476874218,"A four-band multispectral image with pixel size of 50 m × 50 m covers a ground
area of 20 km × 20 km. If the radiometric resolution of the satellite data is 8 bits,
then the uncompressed satellite image contains ______ kilobytes (kB) of data (in
integer)."
51,12476874219,"In spatial interpolation using coordinate transformations for image-to-map
rectification, the minimum number of ground control points (GCPs) required to
perform a third-order transformation is ______ (in integer). "
52,12476874220,"In an image with 6-bit quantization level, the pixel values of a scene are between 25 and 55. A linear contrast stretch is applied to the image covering the full dynamic range. A pixel value 40 in the original image will be mapped to ______ (rounded off to nearest integer) in the stretched image."
53,12476874221,The ionic strength of a solution containing 0.01M of CaCl2 and 0.001M of Na2SO4 is ________ M (rounded off to 3 decimal places).
54,12476874222,The concentration of Ozone corresponding to a mixing ratio of 120 ppbv at pressure of 1 atmosphere and temperature of 25°C is ________ µg/m3 (rounded off to 1 decimal place). Atomic weight of oxygen = 16; R= 8.314 J/K-g.mole.
55,12476874223,One million liters per day (MLD) of wastewater with a soluble BOD of 200 mg/L is treated in an activated sludge process. The BOD of treated wastewater is 20 mg/L. The observed yield coefficient of the biological system is 0.35. The daily biomass generation in the system is ________ kg (an integer value).
56,12476874224,"An industry discharges 2 million liters per day (MLD) of wastewater with a temperature of 45℃ and a pH of 2, whereas the neighboring industry produces 3 MLD of wastewater with a temperature of 30℃ and pH of 8. If both the wastewaters are mixed and carried through a pipeline, then the resultant pH of mixed wastewater is ________ (rounded off to 2 decimal places). Neglect buffering capacity of the system and the temperature effect on pH."
57,12476874225,"In a cyclone separator of radius 25 cm, a particle is travelling with a gas stream at velocity of 18 m/s. The ratio of centrifugal force to the gravitational force acting on the particle is _______ (rounded off to 2 decimal places). Consider acceleration due to gravity (g) as 9.8 m/s2 ."
58,12476874226,"For a biodegradable waste with a chemical formula C50H100O40N, the maximum theoretical methane production per ton of waste is _______ kg (rounded off to 2 decimal places). Assume 100% anaerobic conversion. Atomic weights of C-12; H-1; O-16; N-14"
59,12476874227,"A person consumes 2.5 liters of water per day. The water quality test indicated that the supplied water has a Pb concentration of 0.6 mg/L. If the weight of the person is 75 kg, the exposure level for Pb for this person from this drinking water source is _______mg/kg/day (rounded off to 2 decimal places)."
60,12476874228,"In a region, total annual consumption of gasoline is 30.6 million tons. The land required for growing sugarcane to produce enough bioethanol to replace the gasoline completely is _______ km2 (an integer value). Ethanol energy equivalent is 67% of gasoline, gasoline density is 850 kg/m3 , yield of bioethanol produced from sugarcane per hectare of land is 3750 L, and 1 km2 = 100 hectares."
61,12476874229,"Initially a bottle contained 400 g of ethanol. Half of ethanol was used by a student for preparing the stock solution in an environmental chemistry laboratory just before summer vacation of 90 days. After completing the procedure, the student left the bottle uncorked. If the unsealed bottle losses ethanol at a rate of 0.5 g/day, the ethanol that will be left in the bottle at the end of the summer vacation is _______ g (an integer value)."
62,12476874230,Consider sorting the following array of integers in ascending order using an in-place Quicksort algorithm that uses the last element as the pivot. 60 70 80 90 100 The minimum number of swaps performed during this Quicksort is ______.
63,12476874231,"The fundamental operations in a double-ended queue D are: 
insertFirst(e) – Insert a new element e at the beginning of D. 
insertLast(e) – Insert a new element e at the end of D. 
removeFirst() – Remove and return the first element of D. 
removeLast() – Remove and return the last element of D. 
In an empty double-ended queue, the following operations are performed: 
insertFirst(10) 
insertLast(32) 
a ←removeFirst() 
insertLast(28) 
insertLast(17) 
a ←removeFirst() 
a ← removeLast() The value of a is ______."
64,12476874232,Let 𝑓:ℝ → ℝ be the function 𝑓(𝑥) = 1 /(1+𝑒−𝑥 ). The value of the derivative of 𝑓 at 𝑥 where 𝑓(𝑥) = 0.4 is ______ (rounded off to two decimal places).
65,12476874233,The sample average of 50 data points is 40. The updated sample average after including a new data point taking the value of 142 is ______.
66,12476874234,Consider the 3 × 3 matrix 𝑴 = [ 1 2 3 3 1 3 4 3 6 ]. The determinant of (𝑴^𝟐 + 12𝑴) is ______.
67,12476874235,"Consider the following Python code: 
def count(child_dict, i): 
if i not in child_dict.keys(): 
return 1 
ans = 1 
for j in child_dict[i]: 
ans += count(child_dict, j) 
return ans 

child_dict = dict() 
child_dict[0] = [1,2] 
child_dict[1] = [3,4,5] 
child_dict[2] = [6,7,8] 
print(count(child_dict,0)) 
Which ONE of the following is the output of this code?"
68,12476874236,"Let 𝑋 be a random variable uniformly distributed in the interval [1, 3] and 𝑌 be a random variable uniformly distributed in the interval [2, 4]. If X and Y are independent of each other, the probability P(𝑋 ≥ 𝑌) is ______ (rounded off to three decimal places)."
69,12476874237,"Let 𝑋 be a random variable exponentially distributed with parameter 𝜆 > 0. 
The probability density function of X is given by: 𝑓𝑋 (𝑥) = { 𝜆 𝑒 −𝜆𝑥 , 𝑥 ≥ 0 otherwise 0, If 5𝐸(𝑋) = 𝑉𝑎𝑟(𝑋), where 𝐸(𝑋) and 𝑉𝑎𝑟(𝑋) indicate the expectation and variance of 𝑋, respectively, the value of 𝜆 is ______ (rounded off to one decimal place)."
70,12476874238,"Consider two events T and S. Let 𝑇̅denote the complement of the event T. The probability associated with different events are given as follows: 𝑃(𝑇̅) = 0.6, 𝑃(𝑆|𝑇) = 0.3, 𝑃(𝑆|𝑇̅) = 0.6 Then, 𝑃(𝑇|𝑆) is ______ (rounded off to two decimal places)."
71,12476874239,"Consider a joint probability density function of two random variables X and Y 𝑓𝑋,𝑌 (𝑥, 𝑦) = { 2𝑥𝑦, 0 < 𝑥 < 2, 0 < 𝑦 < 𝑥 0, otherwise Then, 𝐸[𝑌|𝑋 = 1.5] is ______"
72,12476874240,Evaluate the following limit: lim 𝑥→0 ln((𝑥 2+1) cos 𝑥) /𝑥^2 = ______.
73,12476874241,Two fair coins are tossed independently. X is a random variable that takes a value of 1 if both tosses are heads and 0 otherwise. Y is a random variable that takes a value of 1 if at least one of the tosses is heads and 0 otherwise. The value of the covariance of X and Y is ______ (rounded off to three decimal places)
74,12476874242,"In an engineering college of 10,000 students, 1,500 like neither their core branches nor other branches. The number of students who like their core branches is 1/4th of the number of students who like other branches. The number of students who like both their core and other branches is 500. The number of students who like their core branches is"
75,12476874243,"In the sequence 6, 9, 14, x, 30, 41, a possible value of 𝑥 is"
76,12476874244,"A cube is to be cut into 8 pieces of equal size and shape. Here, each cut should be straight and it should not stop till it reaches the other end of the cube. The minimum number of such cuts required is"
77,12476874245,"Let 𝑋 be a random variable having Poisson distribution with mean 𝜆 > 0 such that 𝑃(𝑋 = 4) = 2 𝑃(𝑋 = 5). If 𝑝𝑘 = 𝑃(𝑋 = 𝑘), 𝑘 = 0,1,2, …, and 𝑝𝛼 = max 𝑘 𝑝𝑘, then 𝛼 equals __________ (in integer"
78,12476874246,"Let 𝑋1, 𝑋2, 𝑋3 be independent and identically distributed random variables with 
common probability density function 𝑓(𝑥) = {2𝑥 if 0 < 𝑥 < 1, 0 otherwise.
Then 𝑃(min{𝑋1, 𝑋2, 𝑋3} ≥ 𝐸(𝑋1)) equals __________ (rounded off to two decimal places).
"
79,12476874247,"Let (𝑋, 𝑌) have a bivariate normal distribution with 𝐸(𝑋) = 𝐸(𝑌) = 0. Denote the conditional variance of 𝑋 given 𝑌 = 1 by 𝑉𝑎𝑟(𝑋|𝑌 = 1) and the conditional variance of 𝑌 given 𝑋 = 2 by 𝑉𝑎𝑟(𝑌|𝑋 = 2). If 𝐸(𝑌|𝑋=2) /𝐸(𝑋|𝑌=1) = 8 then 𝑉𝑎𝑟(𝑌|𝑋=2) /𝑉𝑎𝑟(𝑋|𝑌=1) equals __________ (in integer)."
80,12476874248,"Consider the linear regression model 𝑦𝑖 = 𝛽1𝑥𝑖 + 𝜖𝑖 , 𝑖 = 1, 2, … , 𝑛, where 𝛽1 is an unknown parameter, 𝜖𝑖 ’s are uncorrelated random errors with mean 0 and finite variance 𝜎 2 > 0. The five data points (𝑥1, 𝑦1 ) = (2, 5), (𝑥2, 𝑦2 ) = (1, 6), (𝑥3, 𝑦3 ) = (3, 4), (𝑥4, 𝑦4 ) = (2, 3) and (𝑥5, 𝑦5 ) = (4, 6) yield the least squares estimate of 𝛽1 to be equal to __________ (rounded off to two decimal places)."
81,12476874249,"Let 𝑋 be a random variable with probability density function 
𝑓(𝑥) = { 
3 ((𝑥 + 1)^ 2)/8 if − 1 < 𝑥 < 1 ,
0 otherwise. 
If 𝑌 = 1 − 𝑋 2 , then 𝑃 (𝑌 ≤ 3 4 ) equals"
82,12476874250,"Let 𝑋 be a random variable having discrete uniform distribution on {1, 3, 5, 7, … , 99}. Then 𝐸(𝑋 | 𝑋 is not a multiple of 15) equals"
83,12476874251,"Let {𝑁(𝑡)}𝑡≥0 be a Poisson process with rate 𝜆, where 𝜆 > 0 is an unknown parameter. Staring from the origin, an intercity road has 𝑁(𝑡) number of potholes up to a distance of 𝑡 kilometers. Starting from the origin, potholes are found at the following distances (in kilometers) 0.9, 1.3, 1.8, 2.7, 3.4, 4.1, 4.7, 5.5, 6.2, 6.8, 7.4, 8.1, 8.9, 9.2, 9.7. Based on the above data, the method of moment estimate of 𝜆 equals __________ (rounded off to two decimal places)."
84,12476874252,"Let 𝑋1 , 𝑋2 , 𝑋3 , 𝑋4 be a random sample of size 4 from a population having uniform distribution over the interval (0, 𝜃), where 𝜃 > 0 is an unknown parameter. Let 𝑋(4) = max{𝑋1 , 𝑋2 , 𝑋3 , 𝑋4 }. To test 𝐻0 : 𝜃 = 1 against 𝐻1 : 𝜃 = 0.1, consider the critical region that rejects 𝐻0 if 𝑋(4) < 0.3. Let 𝑝 be the probability of the Type-I error. Then 100 𝑝 equals ___________ (rounded off to two decimal places)."
85,12476874253,"Let a random sample of size 4 from a normal population with unknown mean 𝜇 and variance 1 yield the sample mean of 0.16. Let Φ(⋅) be the cumulative distribution function of the standard normal random variable. It is given that Φ(2.28) = 0.989, Φ(1.96) = 0.975, Φ(1.64) = 0.95. If the likelihood ratio test of size 0.05 is used to test 𝐻0 : 𝜇 = 0 against 𝐻1: 𝜇 ≠ 0, then the power of the test at the sample mean equals __________ (rounded off to three decimal places)."
86,12476874254,"A rectangular paper sheet of dimensions 54 cm × 4 cm is taken. The two longer 
edges of the sheet are joined together to create a cylindrical tube. A cube whose 
surface area is equal to the area of the sheet is also taken. 
Then, the ratio of the volume of the cylindrical tube to the volume of the cube is"
87,12476874255,"A rectangular paper of 20 cm × 8 cm is folded 3 times. Each fold is made along the line of symmetry, which is perpendicular to its long edge. The perimeter of the final folded sheet (in cm) is"
88,12476874256,"A user starts browsing a webpage hosted at a remote server. 
The browser opens a single TCP connection to fetch the entire webpage from the server. 
The webpage consists of a top-level index page with multiple embedded image objects. 
Assume that all caches (e.g., DNS cache, browser cache) are all initially empty. 
The following packets leave the user’s computer in some order. 
(i) HTTP GET request for the index page 
(ii) DNS request to resolve the web server’s name to its IP address 
(iii) HTTP GET request for an image object 
(iv) TCP SYN to open a connection to the web server 
Which one of the following is the CORRECT chronological order (earliest in time to latest) of the packets leaving the computer ? 
(1) (iv), (ii), (iii), (i) 
(2) (ii), (iv), (iii), (i) 
(3) (ii), (iv), (i), (iii) 
(4) (iv), (ii), (i), (iii)"
89,12476874257,"In a B+ tree, the requirement of at least half-full (50%) node occupancy is relaxed for which one of the following cases? 
(1) Only the root node 
(2) All leaf nodes 
(3) All internal nodes 
(4) Only the leftmost leaf node"
90,12476874258,Let 𝐴 and 𝐵 be non-empty finite sets such that there exist one-to-one and onto functions (i) from 𝐴 to 𝐵 and (ii) from 𝐴 × 𝐴 to 𝐴 ∪ 𝐵. The number of possible values of |𝐴| is __________
91,12476874259,"Consider the operator precedence and associativity rules for the integer arithmetic operators given in the table below. 
Operator Precedence Associativity 
+ Highest Left 
− High Right 
∗ Medium Right 
/ Low Right 
The value of the expression 3 + 1 + 5 ∗ 2 / 7 + 2 − 4 − 7 − 6 / 2 as per the above rules is _________"
92,12476874260,"The number of spanning trees in a complete graph of 4 vertices labelled A, B, C, and D is ________"
93,12476874261,"Consider a network path P—Q—R between nodes P and R via router Q. Node P sends a file of size 10^6 bytes to R via this path by splitting the file into chunks of 10^3 bytes each. Node P sends these chunks one after the other without any wait time between the successive chunk transmissions. Assume that the size of extra headers added to these chunks is negligible, and that the chunk size is less than the MTU. Each of the links P—Q and Q—R has a bandwidth of 10^6 bits/sec, and negligible propagation latency. Router Q immediately transmits every packet it receives from P to R, with negligible processing and queueing delays. Router Q can simultaneously receive on link P—Q and transmit on link Q—R. Assume P starts transmitting the chunks at time 𝑡 = 0. Which one of the following options gives the time (in seconds, rounded off to 3 decimal places) at which R receives all the chunks of the file?"
94,12476874262,"Consider the following recurrence relation: 𝑇(𝑛) = { √𝑛𝑇(√𝑛) + 𝑛 for 𝑛 ≥ 1, 1 for 𝑛 = 1. 
Which one of the following options is CORRECT? 
(1) 𝑇(𝑛) = Θ(𝑛 log log 𝑛) 
(2) 𝑇(𝑛) = Θ(𝑛 log 𝑛) 
(3) 𝑇(𝑛) = Θ(𝑛^2 log 𝑛) 
(4) 𝑇(𝑛) = Θ(𝑛^2 log log 𝑛)"
95,12476874263,Consider a binary min-heap containing 105 distinct elements. Let 𝑘 be the index (in the underlying array) of the maximum element stored in the heap. The number of possible values of 𝑘 is
96,12476874264,The baseline execution time of a program on a 2 GHz single core machine is 100 nanoseconds (ns). The code corresponding to 90% of the execution time can be fully parallelized. The overhead for using an additional core is 10 ns when running on a multicore system. Assume that all cores in the multicore system run their share of the parallelized code for an equal amount of time. The number of cores that minimize the execution time of the program is ________
97,12476874265,"A given program has 25% load/store instructions. Suppose the ideal CPI (cycles per instruction) without any memory stalls is 2. The program exhibits 2% miss rate on instruction cache and 8% miss rate on data cache. The miss penalty is 100 cycles. The speedup (rounded off to two decimal places) achieved with a perfect cache (i.e., with NO data or instruction cache misses) is ________"
98,12476874266,"Consider the entries shown below in the forwarding table of an IP router. Each entry consists of an IP prefix and the corresponding next hop router for packets whose destination IP address matches the prefix. The notation “/N” in a prefix indicates a subnet mask with the most significant N bits set to 1. 
Prefix Next hop router 
10.1.1.0/24 R1 
10.1.1.128/25 R2 
10.1.1.64/26 R3 
10.1.1.192/26 R4 
This router forwards 20 packets each to 5 hosts. The IP addresses of the hosts are 10.1.1.16, 10.1.1.72, 10.1.1.132, 10.1.1.191, and 10.1.1.205 . The number of packets forwarded via the next hop router R2 is _______"
99,12476874267,"Let 𝐺 = (𝑉, Σ, 𝑆, 𝑃) be a context-free grammar in Chomsky Normal Form with Σ = {𝑎, 𝑏, 𝑐} and 𝑉 containing 10 variable symbols including the start symbol 𝑆. The string 𝑤 = 𝑎 ^30𝑏 ^30𝑐 ^30 is derivable from 𝑆. The number of steps (application of rules) in the derivation 𝑆 →∗ 𝑤 is _________"
100,12476874268,The number of edges present in the forest generated by the DFS traversal of an undirected graph 𝐺 with 100 vertices is 40. The number of connected components in 𝐺 is _________
101,12476874269,"In a forest, there are tigers, hare, and deer. On a given day, the probability of a tiger hunting a hare is 0.35, a deer is 0.25, and either a hare or a deer is 0.55. The probability of a tiger hunting both a hare and a deer on a given day is __________."
102,12476874270,"Consider a discrete random variable X that takes values from the set S = {0, 1, 2, 3}, being the number of individuals of a species within a habitat. Consider the probability distribution of X with Pr(X = 0) = 0.15, Pr(X = 1) = 0.25 and Pr(X = 3) = 0.5, where Pr denotes probability. The value of Pr(X = 2) is"
103,12476874271,"There are nine species of Impatiens (balsams) found in laterite plateaus of the northern Western Ghats, each with a distinct colour. If a plateau has exactly 6 species, then the number of possible colour combinations in the plateau is"
104,12476874272,"Fermentation medium is cooled from 121 C to 30 C in a double pipe heat exchanger. If cold water is flowing in the counter-current direction and is heated from 10 C to 70 C, then the Log-Mean Temperature Difference (LMTD) is ________ C"
105,12476874273,"Aspergillus niger is grown in a 10,000 L stirred batch bioreactor under aerated conditions to produce citric acid. At steady state oxygen transfer conditions, the specific oxygen uptake rate of the organism and the volumetric mass transfer coefficient are 1×10-4 𝑔 𝑜𝑥𝑦𝑔𝑒𝑛 𝑐𝑜𝑛𝑠𝑢𝑚𝑒𝑑 𝑔 𝑏𝑖𝑜𝑚𝑎𝑠𝑠 s -1 and 60 min-1 , respectively. If the oxygen solubility is 8×10-3 kg m-3 under the operating conditions, based only on oxygen dynamics, the maximum possible cell concentration is ________kg m-3"
106,12476874274,"The free energy change of ATP hydrolysis at 25 C is -32.2 kJ mol-1 . The free energy change for hydrolysis of α-glycerophosphate to glycerol is -8.2 kJ mol-1 at 25 C. Using the above information, the free energy change for the formation of α-glycerophosphate from glycerol and ATP is ________ kJ mol-1 (Answer in integer)."
107,12476874275,"E. coli is inoculated in a shake flask containing nutrient rich medium. The initial number of viable cells in the medium is 102 . After few hours, the number of viable cells is 106 . Assuming cell divides by binary fission, the number of generations that have taken place is ________"
108,12476874276,"A fermentor is filled with medium at a rate of 1 L min-1 . A leak develops at the bottom of the fermentor when the medium in the fermentor reaches 200 L. The rate of medium leakage is 2𝑡 L min-1 , where ‘𝑡’ is the time at which the leak begins. The volume of medium in the fermentor after 10 min of leakage is ________ L"
109,12476874277,"A fed batch process is running at quasi-steady state with respect to substrate and biomass concentration. At 2 h, the culture volume is 500 L with a constant sterile inlet feed at 50 L h-1 of glucose. The culture kinetic parameters µ𝑚and 𝐾𝑆 are 0.2 h-1 and 0.1 g L-1 , respectively. The substrate concentration in the reactor will be ________ g L-1"
